id_known,id_unknown,is_max,proximity,average_dist_normalized,sorted_rank,num_atoms,cosine,matched,shifted,unshifted,weight,delta,peaks,shifted_annotated_ratio,shifted_annotated_ambiguity,shifted_annotated_entropy,sirius_availability
CCMSLIB00000847516,CCMSLIB00000851935,0.0,0.9722222222222222,0.6583859553358402,0.8571428571428571,78,0.6936158745997543,60,17,43,1121.61,16.0,100,0.7058823529411765,8.083333333333334,0.4332602120017522,True
CCMSLIB00000847337,CCMSLIB00000848337,0.0,0.8,0.6748576450476713,0.6842105263157895,20,0.6199510918236593,16,8,8,275.091,15.995000000000005,36,0.625,4.2,0.3318653065859587,True
CCMSLIB00005721928,CCMSLIB00005722386,0.0909090909090909,1.0,0.5737256733538849,0.9090909090909092,23,0.919012758707864,8,7,1,313.144,68.06200000000001,16,0.7142857142857143,2.4,0.4152712937854093,False
CCMSLIB00005722776,CCMSLIB00005722440,0.0,0.7916666666666666,0.3809029566230906,0.8431372549019608,52,0.4026069333735941,8,2,6,753.427,42.00999999999999,32,1.0,29.0,0.9241128419603768,False
CCMSLIB00000846710,CCMSLIB00000848668,0.0,0.8235294117647058,0.5778082689608304,0.5098039215686274,52,0.9997876068928614,8,4,4,741.223,15.995000000000005,8,0.5,22.0,1.1682455481944536,True
CCMSLIB00000845075,CCMSLIB00000845080,0.25,1.0,0.7618851270788245,0.92,26,0.4167230773081037,16,13,3,395.044,33.96199999999999,96,0.6923076923076923,4.444444444444445,0.1266373614734885,True
CCMSLIB00000852805,CCMSLIB00000852170,0.0,0.5714285714285714,0.4491776901709648,0.5882352941176471,18,0.2879424948207207,45,22,23,249.149,15.993999999999971,99,0.1818181818181818,1.25,0.0070014866723226,True
CCMSLIB00000848253,CCMSLIB00000845881,0.0,0.5357142857142857,0.6805251100858204,0.9130434782608696,47,0.9055541566617324,65,1,64,667.405,324.1940000000001,100,0.0,-1.0,0.0,True
CCMSLIB00000847236,CCMSLIB00000848340,0.0,0.7692307692307693,0.7550171579596957,0.4583333333333333,25,0.8011319992298686,24,14,10,343.117,30.010999999999967,59,0.5,6.0,0.1722396516512068,True
CCMSLIB00000852491,CCMSLIB00000850015,0.0,0.5714285714285714,0.5672899438635606,0.6181818181818182,56,0.9805673141817276,72,0,72,795.453,162.05200000000002,100,0.0,-1.0,0.0,True
CCMSLIB00005723090,CCMSLIB00005723075,0.0,0.7272727272727273,0.6081802921018846,0.8214285714285714,29,0.9628744083795516,17,11,6,391.154,14.01600000000002,28,0.9090909090909092,4.2,0.8452784124657153,False
CCMSLIB00000845828,CCMSLIB00000848466,0.0,0.9411764705882352,0.5626514711431726,0.7450980392156863,52,0.9886316067712592,6,4,2,741.223,14.016000000000076,9,0.5,22.0,1.0384404872839588,True
CCMSLIB00000848355,CCMSLIB00000847120,0.0,0.6470588235294118,0.5607667587735173,0.8809523809523809,43,0.9983420242775534,6,0,6,611.16,146.058,6,0.0,-1.0,0.0,True
CCMSLIB00000848794,CCMSLIB00000845132,0.0909090909090909,1.0,0.756956489326374,0.6785714285714286,29,0.7374228117865796,11,9,2,391.19,15.995000000000005,33,0.7777777777777778,3.7142857142857135,0.310373062089911,True
CCMSLIB00005723081,CCMSLIB00005722559,0.0,0.0,0.40395381542753,0.6363636363636364,23,0.3212261569825888,30,7,23,321.243,58.005,55,0.1428571428571428,1.0,0.0,False
CCMSLIB00000852343,CCMSLIB00000846922,0.03125,1.0,0.4553633203692597,0.7346938775510204,50,0.9911851122923668,43,0,43,695.27,84.09300000000007,56,0.0,-1.0,0.0,True
CCMSLIB00000851395,CCMSLIB00000847536,0.0,0.4,0.2498363019103677,0.5357142857142857,29,0.8800472193514214,20,0,20,407.134,174.05200000000002,41,0.0,-1.0,0.0,True
CCMSLIB00005721643,CCMSLIB00000848160,0.5,1.0,0.6441779936241704,1.0,22,0.9339082105449577,2,0,2,307.082,152.01,12,0.0,-1.0,0.0,False
CCMSLIB00000851640,CCMSLIB00005721835,0.0,0.5714285714285714,0.5883979235760433,0.7333333333333333,16,0.8056413515243699,24,13,11,223.096,13.978999999999983,36,0.7692307692307693,7.5,0.5344306871494596,True
CCMSLIB00000848686,CCMSLIB00000846563,0.0,0.625,0.5556880166293959,0.2641509433962264,54,0.5308566421147001,30,10,20,781.421,14.015999999999964,46,1.0,23.8,1.3142984170900036,True
CCMSLIB00005721107,CCMSLIB00000846405,0.0,0.5333333333333333,0.6845736413062877,0.7333333333333333,31,0.418402482862022,36,4,32,435.13,162.05100000000004,95,0.75,24.33333333333333,0.1038878524850803,False
CCMSLIB00000853770,CCMSLIB00000852234,0.0769230769230769,1.0,0.6472700774140188,0.6296296296296297,28,0.0010506808490348,2,1,1,407.155,162.03100000000006,52,1.0,4.0,0.0165970426414488,True
CCMSLIB00000845758,CCMSLIB00000847961,0.0,0.4666666666666667,0.4615269423911204,0.3333333333333333,31,0.7508365085129743,57,23,34,435.128,15.995000000000005,97,0.8695652173913043,31.05,0.524360111660123,True
CCMSLIB00000848072,CCMSLIB00000845060,0.1111111111111111,1.0,0.8135541253177385,0.896551724137931,30,0.9964542085004292,2,0,2,419.097,176.06799999999998,8,0.0,-1.0,0.0,True
CCMSLIB00000846887,CCMSLIB00000845488,0.0,0.5,0.4680225697727065,0.2727272727272727,12,0.0283369102808492,5,3,2,163.039,14.015000000000017,15,1.0,3.333333333333333,0.1352111718541269,True
CCMSLIB00000848272,CCMSLIB00000847709,1.0,1.0,0.8098138370053227,1.0,18,0.0949889510338703,15,1,14,247.096,42.01100000000002,30,0.0,-1.0,0.0,True
CCMSLIB00000853517,CCMSLIB00000852957,0.0,0.7777777777777778,0.5472101615907627,0.53125,33,0.5167387787984271,33,19,14,459.238,15.995000000000005,94,0.6842105263157895,8.076923076923077,0.1828440394952789,True
CCMSLIB00000850827,CCMSLIB00000851777,0.0,0.8461538461538461,0.7647980427228418,0.8823529411764706,35,0.3910139086282632,4,0,4,478.27,15.995000000000005,10,0.0,-1.0,0.0,True
CCMSLIB00000847524,CCMSLIB00000846749,0.0,0.5652173913043478,0.422611359838765,0.7837837837837838,38,0.4387175533186213,41,4,37,555.337,186.126,63,1.0,23.75,0.334718549713521,True
CCMSLIB00005721467,CCMSLIB00005721617,0.0,0.5,0.1573984605284602,0.09375,33,0.9403498240506776,6,2,4,465.103,14.01600000000002,11,0.5,1.0,0.0,False
CCMSLIB00000848839,CCMSLIB00000852525,0.0,0.6153846153846154,0.7277471067314969,0.5217391304347826,24,0.2875363631326791,38,9,29,353.151,42.01099999999997,98,0.6666666666666666,4.666666666666667,0.0479890252715852,True
CCMSLIB00000847707,CCMSLIB00000846559,0.0454545454545454,1.0,0.7915315277898624,0.5,43,0.9666253369255188,3,3,0,607.165,30.01100000000008,7,0.6666666666666666,1.0,0.0,True
CCMSLIB00000853052,CCMSLIB00000855216,0.0625,1.0,0.5267424980170327,0.2222222222222222,19,0.2423590011224369,32,13,19,265.143,15.995000000000005,99,0.0769230769230769,3.0,0.0081912143052154,True
CCMSLIB00000845054,CCMSLIB00000848936,0.5,1.0,0.7478533480803119,0.9523809523809524,22,0.727082498270498,20,0,20,305.102,84.05700000000002,47,0.0,-1.0,0.0,True
CCMSLIB00000849912,CCMSLIB00000855045,0.0,0.9090909090909092,0.7762380315273861,0.8421052631578947,20,0.7927276717339196,38,14,24,271.096,30.011000000000024,50,0.5,3.571428571428572,0.114226179403605,True
CCMSLIB00000845072,CCMSLIB00000845074,0.0,0.7777777777777778,0.6705785212581078,0.4347826086956521,24,0.1889546808110535,34,8,26,327.122,43.99000000000001,98,0.75,7.5,0.0902765599252223,True
